name,stationID,evaNr,rl100Code,lat,lon
Arnbach,176,,,48.34132,11.344044
Arnsberg (Westf),177,,,51.405662,8.067965
Arnsberg-Neheim-Hüsten,4329,,,51.438003,7.970066
Arnschwang,178,,,49.274608,12.8116
Arnsdorf (b Dresden),179,,,51.092807,13.982212
Arnstadt Hbf,180,,,50.841939,10.948262
Arnstadt Süd,181,,,50.831084,10.954958
Arsbeck,184,,,51.1519779,6.20708227
Artern,185,,,51.36324,11.310757
Arzberg (Oberfr),186,,,50.054633,12.197692
Aschaffenburg Hbf,187,,,49.980557,9.143697
Aschaffenburg Hochschule,8142,,,49.974445,9.160416
Aschaffenburg Süd,188,,,49.968465,9.152586
Aschau (Chiemgau),190,,,47.779106,12.325564
Ascheberg (Holst),191,,,54.148462,10.339481
Ascheberg (Westf),192,,,51.782991,7.600749
Aschendorf,193,,,53.052179,7.337153
Aschersleben,194,,,51.757122,11.465689
Ashausen,195,,,53.368693,10.145564
Asperg,196,,,48.907359,9.147797
Asselheim,197,,,49.57622,8.161602
Assenheim (Oberhess),198,,,50.304939,8.812462
Assmannshausen,201,,,49.985324,7.867355
Attendorn,202,,,51.124644,7.908493
Attendorn-Hohen Hagen,7966,,,51.090165,7.855281
Attilastraße,203,,,52.447681,13.360951
Au (Sieg),204,,,50.773765,7.656537
Aue-Wingeshausen,207,,,51.051785,8.290085
Auehütte,208,,,50.719672,10.416666
Auerbach (Vogtl) Hp,210,,,50.506955,12.379204
Auerbach (Vogtl) ob Bf,211,,,50.519136,12.382054
Auerbach (Vogtl) unt Bf,212,,,50.511722,12.391421
Auerbach (b Mosbach),209,,,49.399563,9.223276
Auersmacher,213,,,49.143343,7.044803
Auerstedt,214,,,51.10203,11.590437
Aufhausen (Württ),217,,,48.85613,10.317193
Aufhausen (b Erding),216,,,48.274365,11.894375
Auggen,218,,,47.789949,7.586788
Augsburg Haunstetterstraße,219,,,48.355285,10.900985
Augsburg Hbf,220,,,48.365441,10.88557
Augsburg Messe,7996,,,48.338684,10.886086
Augsburg Morellstraße,222,,,48.355089,10.892948
Augsburg-Hochzoll,223,,,48.352977,10.943376
Augsburg-Oberhausen,224,,,48.380772,10.872533
Augustfehn,225,,,53.22089,7.759659
Aukrug,2996,,,54.082398,9.78581
Aulendorf,226,,,47.953052,9.644046
Aumenau,228,,,50.4003057,8.24923441
Aumühle,229,,,53.529853,10.314672
Auringen-Medenbach,230,,,50.113608,8.332093
Auw an der Kyll,232,,,49.903596,6.614525
Außenried,231,,,49.015763,13.181763
Aying,233,,,47.968762,11.769578
Aßlar,199,,,50.588657,8.462756
Aßling (Oberbay),200,,,47.989491,11.993518
Baalberge,236,,,51.763048,11.784682
Baar-Ebenhausen,8284,,,48.6749376,11.4600921
Babelsberg,237,,,52.391391,13.092871
Babenhausen (Hess),238,,,49.957963,8.957182
Babenhausen Langstadt,3564,,,49.922274,8.945733
Babstadt,239,,,49.240196,9.060708
Bacharach,240,,,50.056101,7.769523
Bachern,241,,,48.280159,11.378716
Bachfeld,242,,,50.405772,10.982451
Bachheim,243,,,47.862072,8.399399
Backnang,244,,,48.942676,9.425989
Bad Abbach,245,,,48.922732,11.994322
Bad Aibling,246,,,47.862028,12.004157
Bad Aibling Kurpark,630,,,47.857617,12.013823
Bad Bellingen,247,,,47.730804,7.557601
Bad Belzig,478,,,52.135969,12.594981
Bad Bentheim,248,,,52.30985,7.158539
Bad Bergzabern,7184,,,49.103209,8.002787
Bad Berka,249,,,50.896138,11.28155
Bad Berka Zeughausplatz,7999,,,50.900441,11.280095
Bad Berleburg,251,,,51.051197,8.394109
Bad Bevensen,253,,,53.078247,10.574141
Bad Blankenburg (Thüringerw),256,,,50.682648,11.275498
Bad Bodendorf,257,,,50.556266,7.217217
Bad Bodenteich,742,,,52.8350995,10.6727994
Bad Brambach,258,,,50.217587,12.311414
Bad Breisig,259,,,50.504218,7.304564
Bad Camberg,261,,,50.2966253,8.25505078
Bad Doberan,262,,,54.100004,11.905335
Bad Driburg (Westf),264,,,51.730323,9.03081
Bad Dürkheim,266,,,49.460633,8.170701
Bad Dürkheim-Trift,267,,,49.466416,8.193072
Bad Dürrenberg,268,,,51.305165,12.071053
Bad Elster,269,,,50.296672,12.256286
Bad Ems,271,,,50.327652,7.728637
Bad Ems West,272,,,50.330694,7.706039
Bad Endorf,274,,,47.905066,12.301558
Bad Fallingbostel,1760,,,52.862925,9.700233
Bad Freienwalde (Oder),276,,,52.789933,14.035751
Bad Friedrichshall Hbf,277,,,49.231571,9.199771
Bad Friedrichshall-Kochendorf,278,,,49.2185642,9.21098471
Bad Gandersheim,279,,,51.86737,10.020236
Bad Griesbach,280,,,48.448618,8.230569
Bad Grönenbach,2289,,,47.882468,10.253715
Bad Harzburg,281,,,51.8883687,10.5542189
Bad Hersfeld,282,,,50.8697662,9.71658111
Bad Holzhausen,2886,,,52.289097,8.545854
